Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
Lionel Messi,18/19,LaLiga,3,2018-09-02,H,FC Barcelona,SD Huesca,8:02,RW ,61,6:02,Left-footed shot,Philippe Coutinho
Lionel Messi,18/19,LaLiga,3,2018-09-02,H,FC Barcelona,SD Huesca,8:02,RW ,16,1:01,Right-footed shot,Ivan Rakitic
Cristiano Ronaldo,18/19,Serie A,4,2018-09-16,H,Juventus FC,US Sassuolo,2:01,CF,50,1:00,Tap-in,
Cristiano Ronaldo,18/19,Serie A,4,2018-09-16,H,Juventus FC,US Sassuolo,2:01,CF,65,2:00,Left-footed shot,Emre Can
Lionel Messi,18/19,UEFA Champions League,Group Stage,2018-09-18,H,FC Barcelona,PSV Eindhoven,4:00,RW ,31,1:00,Direct free kick,
Lionel Messi,18/19,UEFA Champions League,Group Stage,2018-09-18,H,FC Barcelona,PSV Eindhoven,4:00,RW ,87,4:00,Right-footed shot,Luis Suarez
Lionel Messi,18/19,UEFA Champions League,Group Stage,2018-09-18,H,FC Barcelona,PSV Eindhoven,4:00,RW ,77,3:00,Left-footed shot,Ivan Rakitic
Lionel Messi,18/19,LaLiga,5,2018-09-23,H,FC Barcelona,Girona FC,2:02,RW ,19,1:00,Left-footed shot,Arturo Vidal
Cristiano Ronaldo,18/19,Serie A,5,2018-09-23,A,Juventus FC,Frosinone Calcio,0:02,LW,81,0:01,Left-footed shot,
Lionel Messi,18/19,UEFA Champions League,Group Stage,2018-10-03,A,FC Barcelona,Tottenham Hotspur,2:04,RW ,90,2:04,Left-footed shot,Jordi Alba
Lionel Messi,18/19,UEFA Champions League,Group Stage,2018-10-03,A,FC Barcelona,Tottenham Hotspur,2:04,RW ,56,1:03,Left-footed shot,Jordi Alba
Cristiano Ronaldo,18/19,Serie A,8,2018-10-06,A,Juventus FC,Udinese Calcio,0:02,LW,37,0:02,Left-footed shot,Mario Mandzukic
Lionel Messi,18/19,LaLiga,8,2018-10-07,A,FC Barcelona,Valencia CF,1:01,RW ,23,1:01,Left-footed shot,Luis Suarez
Lionel Messi,18/19,LaLiga,9,2018-10-20,H,FC Barcelona,Sevilla FC,4:02,RW ,12,2:00,Left-footed shot,Luis Suarez
Cristiano Ronaldo,18/19,Serie A,9,2018-10-20,H,Juventus FC,Genoa CFC,1:01,LW,18,1:00,Tap-in,
Cristiano Ronaldo,18/19,Serie A,10,2018-10-27,A,Juventus FC,Empoli FC ,1:02,CF,70,1:02,Right-footed shot,Blaise Matuidi
Cristiano Ronaldo,18/19,Serie A,10,2018-10-27,A,Juventus FC,Empoli FC ,1:02,CF,54,1:01,Penalty,
Cristiano Ronaldo,18/19,UEFA Champions League,Group Stage,2018-11-07,H,Juventus FC,Manchester United,1:02,CF,65,1:00,Right-footed shot,Leonardo Bonucci
Cristiano Ronaldo,18/19,Serie A,12,2018-11-11,A,Juventus FC,AC Milan,0:02,LW,81,0:02,Tap-in,
Lionel Messi,18/19,LaLiga,12,2018-11-11,H,FC Barcelona,Real Betis Balompie,3:04,SS ,90+4,3:04,Left-footed shot,Arturo Vidal
Lionel Messi,18/19,LaLiga,12,2018-11-11,H,FC Barcelona,Real Betis Balompie,3:04,SS ,68,1:02,Penalty,
Cristiano Ronaldo,18/19,Serie A,13,2018-11-24,H,Juventus FC,SPAL,2:00,CF,29,1:00,Left-footed shot,Miralem Pjanic
Lionel Messi,18/19,UEFA Champions League,Group Stage,2018-11-28,A,FC Barcelona,PSV Eindhoven,1:02,CF ,61,0:01,Left-footed shot,Ousmane Dembele
Cristiano Ronaldo,18/19,Serie A,14,2018-12-01,A,Juventus FC,ACF Fiorentina,0:03,LW,79,0:03,Penalty,
Lionel Messi,18/19,LaLiga,15,2018-12-08,A,FC Barcelona,RCD Espanyol Barcelona,0:04,RW ,65,0:04,Direct free kick,
Lionel Messi,18/19,LaLiga,15,2018-12-08,A,FC Barcelona,RCD Espanyol Barcelona,0:04,RW ,17,0:01,Direct free kick,
Cristiano Ronaldo,18/19,Serie A,16,2018-12-15,A,Juventus FC,Torino FC,0:01,LW,70,0:01,Penalty,
Lionel Messi,18/19,LaLiga,16,2018-12-16,A,FC Barcelona,Levante UD,0:05,SS ,43,0:02,Right-footed shot,Sergio Busquets
Lionel Messi,18/19,LaLiga,16,2018-12-16,A,FC Barcelona,Levante UD,0:05,SS ,47,0:03,Left-footed shot,
Lionel Messi,18/19,LaLiga,16,2018-12-16,A,FC Barcelona,Levante UD,0:05,SS ,60,0:04,Left-footed shot,Arturo Vidal
Lionel Messi,18/19,LaLiga,17,2018-12-22,H,FC Barcelona,Celta de Vigo,2:00,RW ,45,2:00,Left-footed shot,Jordi Alba
Cristiano Ronaldo,18/19,Serie A,18,2018-12-26,A,Juventus FC,Atalanta BC,2:02,CF,78,2:02,Header,Giorgio Chiellini
Cristiano Ronaldo,18/19,Serie A,19,2018-12-29,H,Juventus FC,UC Sampdoria,2:01,LW,2,1:00,Right-footed shot,Paulo Dybala
Cristiano Ronaldo,18/19,Serie A,19,2018-12-29,H,Juventus FC,UC Sampdoria,2:01,LW,65,2:01,Penalty,
Lionel Messi,18/19,LaLiga,18,2019-01-06,A,FC Barcelona,Getafe CF,1:02,RW ,20,0:01,Left-footed shot,
Lionel Messi,18/19,LaLiga,19,2019-01-13,H,FC Barcelona,SD Eibar,3:00,RW ,53,2:00,Left-footed shot,Luis Suarez
Cristiano Ronaldo,18/19,Supercoppa Italiana,Final,2019-01-16,H,Juventus FC,AC Milan,1:00,LW,61,1:00,Header,Miralem Pjanic
Lionel Messi,18/19,Copa del Rey,last 16,2019-01-17,H,FC Barcelona,Levante UD,3:00,CF ,54,3:00,Left-footed shot,Nelson Semedo
Lionel Messi,18/19,LaLiga,20,2019-01-20,H,FC Barcelona,CD Leganes,3:01,SS,90+2,3:01,Right-footed shot,Jordi Alba
Cristiano Ronaldo,18/19,Serie A,21,2019-01-27,A,Juventus FC,SS Lazio,1:02,LW,88,1:02,Penalty,
Lionel Messi,18/19,LaLiga,21,2019-01-27,A,FC Barcelona,Girona FC,0:02,RW ,69,0:02,Left-footed shot,Jordi Alba
Lionel Messi,18/19,Copa del Rey,Quarter-Finals,2019-01-30,H,FC Barcelona,Sevilla FC,6:01,RW ,90+2,6:01,Left-footed shot,Jordi Alba
Cristiano Ronaldo,18/19,Serie A,22,2019-02-02,H,Juventus FC,Parma Calcio 1913,3:03,LW,66,3:01,Header,Mario Mandzukic
Cristiano Ronaldo,18/19,Serie A,22,2019-02-02,H,Juventus FC,Parma Calcio 1913,3:03,LW,36,1:00,Right-footed shot,Blaise Matuidi
Lionel Messi,18/19,LaLiga,22,2019-02-02,H,FC Barcelona,Valencia CF,2:02,RW ,39,1:02,Penalty,
Lionel Messi,18/19,LaLiga,22,2019-02-02,H,FC Barcelona,Valencia CF,2:02,RW ,64,2:02,Left-footed shot,Arturo Vidal
Cristiano Ronaldo,18/19,Serie A,23,2019-02-10,A,Juventus FC,US Sassuolo,0:03,LW,70,0:02,Header,Miralem Pjanic
Cristiano Ronaldo,18/19,Serie A,24,2019-02-15,H,Juventus FC,Frosinone Calcio,3:00,LW,63,3:00,Right-footed shot,Mario Mandzukic
Lionel Messi,18/19,LaLiga,24,2019-02-16,H,FC Barcelona,Real Valladolid CF,1:00,RW ,43,1:00,Penalty,
Lionel Messi,18/19,LaLiga,25,2019-02-23,A,FC Barcelona,Sevilla FC,2:04,RW ,26,1:01,Left-footed shot,Ivan Rakitic
Lionel Messi,18/19,LaLiga,25,2019-02-23,A,FC Barcelona,Sevilla FC,2:04,RW ,85,2:03,Left-footed shot,
Lionel Messi,18/19,LaLiga,25,2019-02-23,A,FC Barcelona,Sevilla FC,2:04,RW ,67,2:02,Right-footed shot,Ousmane Dembele
Lionel Messi,18/19,LaLiga,27,2019-03-09,H,FC Barcelona,Rayo Vallecano,3:01,RW ,51,2:01,Penalty,
Cristiano Ronaldo,18/19,UEFA Champions League,last 16,2019-03-12,H,Juventus FC,Atletico de Madrid,3:00,CF,27,1:00,Header,Federico Bernardeschi
Cristiano Ronaldo,18/19,UEFA Champions League,last 16,2019-03-12,H,Juventus FC,Atletico de Madrid,3:00,CF,86,3:00,Penalty,
Cristiano Ronaldo,18/19,UEFA Champions League,last 16,2019-03-12,H,Juventus FC,Atletico de Madrid,3:00,CF,49,2:00,Header,Jọo Cancelo
Lionel Messi,18/19,UEFA Champions League,last 16,2019-03-13,H,FC Barcelona,Olympique Lyon,5:01,RW ,18,1:00,Penalty,
Lionel Messi,18/19,UEFA Champions League,last 16,2019-03-13,H,FC Barcelona,Olympique Lyon,5:01,RW ,78,3:01,Right-footed shot,Sergio Busquets
Lionel Messi,18/19,LaLiga,28,2019-03-17,A,FC Barcelona,Real Betis Balompie,1:04,SS ,18,0:01,Direct free kick,
Lionel Messi,18/19,LaLiga,28,2019-03-17,A,FC Barcelona,Real Betis Balompie,1:04,SS ,45+2,0:02,Left-footed shot,Luis Suarez
Lionel Messi,18/19,LaLiga,28,2019-03-17,A,FC Barcelona,Real Betis Balompie,1:04,SS ,85,1:04,Left-footed shot,Ivan Rakitic
Lionel Messi,18/19,LaLiga,29,2019-03-30,H,FC Barcelona,RCD Espanyol Barcelona,2:00,RW ,71,1:00,Direct free kick,
Lionel Messi,18/19,LaLiga,29,2019-03-30,H,FC Barcelona,RCD Espanyol Barcelona,2:00,RW ,89,2:00,Left-footed shot,Malcom
Lionel Messi,18/19,LaLiga,30,2019-04-02,A,FC Barcelona,Villarreal CF,4:04,RW,90,4:03,Direct free kick,
Lionel Messi,18/19,LaLiga,31,2019-04-06,H,FC Barcelona,Atletico de Madrid,2:00,SS ,87,2:00,Left-footed shot,
Cristiano Ronaldo,18/19,UEFA Champions League,Quarter-Finals,2019-04-10,A,Juventus FC,Ajax Amsterdam,1:01,LW,45,0:01,Header,Jọo Cancelo
Lionel Messi,18/19,UEFA Champions League,Quarter-Finals,2019-04-16,H,FC Barcelona,Manchester United,3:00,RW ,16,1:00,Left-footed shot,
Lionel Messi,18/19,UEFA Champions League,Quarter-Finals,2019-04-16,H,FC Barcelona,Manchester United,3:00,RW ,20,2:00,Right-footed shot,
Cristiano Ronaldo,18/19,UEFA Champions League,Quarter-Finals,2019-04-16,H,Juventus FC,Ajax Amsterdam,1:02,LW,28,1:00,Header,Miralem Pjanic
Cristiano Ronaldo,18/19,Serie A,34,2019-04-27,A,Juventus FC,Inter Milan,1:01,CF,62,1:01,Left-footed shot,Miralem Pjanic
Lionel Messi,18/19,LaLiga,35,2019-04-27,H,FC Barcelona,Levante UD,1:00,RW,62,1:00,Left-footed shot,Arturo Vidal
Lionel Messi,18/19,UEFA Champions League,Semi-Finals,2019-05-01,H,FC Barcelona,Liverpool FC,3:00,RW ,75,2:00,Left-footed shot,Luis Suarez
Lionel Messi,18/19,UEFA Champions League,Semi-Finals,2019-05-01,H,FC Barcelona,Liverpool FC,3:00,RW ,82,3:00,Direct free kick,
Cristiano Ronaldo,18/19,Serie A,35,2019-05-03,H,Juventus FC,Torino FC,1:01,CF,84,1:01,Header,Leonardo Spinazzola
Lionel Messi,18/19,LaLiga,38,2019-05-19,A,FC Barcelona,SD Eibar,2:02,CF ,32,1:02,Left-footed shot,Ivan Rakitic
Lionel Messi,18/19,LaLiga,38,2019-05-19,A,FC Barcelona,SD Eibar,2:02,CF ,31,1:01,Left-footed shot,Arturo Vidal
Lionel Messi,18/19,Copa del Rey,Final,2019-05-25,H,FC Barcelona,Valencia CF,1:02,CF ,73,1:02,Left-footed shot,Clement Lenglet
Cristiano Ronaldo,19/20,Serie A,2,2019-08-31,H,Juventus FC,SSC Napoli,4:03,LW,62,3:00,Left-footed shot,Douglas Costa
Cristiano Ronaldo,19/20,Serie A,4,2019-09-21,H,Juventus FC,Hellas Verona,2:01,LW,49,2:01,Penalty,
Cristiano Ronaldo,19/20,Serie A,6,2019-09-28,H,Juventus FC,SPAL,2:00,CF,78,2:00,Header,Paulo Dybala
Cristiano Ronaldo,19/20,UEFA Champions League,Group Stage,2019-10-01,H,Juventus FC,Bayer 04 Leverkusen,3:00,CF,89,3:00,Right-footed shot,Paulo Dybala
Lionel Messi,19/20,LaLiga,8,2019-10-06,H,FC Barcelona,Sevilla FC,4:00,RW ,78,4:00,Direct free kick,
Lionel Messi,19/20,LaLiga,9,2019-10-19,A,FC Barcelona,SD Eibar,0:03,RW ,58,0:02,Left-footed shot,Antoine Griezmann
Cristiano Ronaldo,19/20,Serie A,8,2019-10-19,H,Juventus FC,Bologna FC 1909,2:01,CF,19,1:00,Right-footed shot,
Lionel Messi,19/20,UEFA Champions League,Group Stage,2019-10-23,A,FC Barcelona,SK Slavia Prague,1:02,RW ,3,0:01,Left-footed shot,Arthur
Lionel Messi,19/20,LaLiga,11,2019-10-29,H,FC Barcelona,Real Valladolid CF,5:01,RW ,75,4:01,Left-footed shot,Ivan Rakitic
Lionel Messi,19/20,LaLiga,11,2019-10-29,H,FC Barcelona,Real Valladolid CF,5:01,RW ,34,3:01,Direct free kick,
Cristiano Ronaldo,19/20,Serie A,10,2019-10-30,H,Juventus FC,Genoa CFC,2:01,CF,90+6,2:01,Penalty,
Lionel Messi,19/20,LaLiga,12,2019-11-02,A,FC Barcelona,Levante UD,3:01,RW ,38,0:01,Penalty,
Lionel Messi,19/20,LaLiga,13,2019-11-09,H,FC Barcelona,Celta de Vigo,4:01,RW ,45+1,2:01,Direct free kick,
Lionel Messi,19/20,LaLiga,13,2019-11-09,H,FC Barcelona,Celta de Vigo,4:01,RW ,23,1:00,Penalty,
Lionel Messi,19/20,LaLiga,13,2019-11-09,H,FC Barcelona,Celta de Vigo,4:01,RW ,48,3:01,Direct free kick,
Lionel Messi,19/20,UEFA Champions League,Group Stage,2019-11-27,H,FC Barcelona,Borussia Dortmund,3:01,RW ,33,2:00,Left-footed shot,Luis Suarez
Cristiano Ronaldo,19/20,Serie A,14,2019-12-01,H,Juventus FC,US Sassuolo,2:02,CF,68,2:02,Penalty,
Lionel Messi,19/20,LaLiga,15,2019-12-01,A,FC Barcelona,Atletico de Madrid,0:01,RW ,86,0:01,Left-footed shot,Luis Suarez
Lionel Messi,19/20,LaLiga,16,2019-12-07,H,FC Barcelona,RCD Mallorca,5:02,RW ,17,2:00,Left-footed shot,Antoine Griezmann
Lionel Messi,19/20,LaLiga,16,2019-12-07,H,FC Barcelona,RCD Mallorca,5:02,RW ,83,5:02,Left-footed shot,Luis Suarez
Lionel Messi,19/20,LaLiga,16,2019-12-07,H,FC Barcelona,RCD Mallorca,5:02,RW ,41,3:01,Left-footed shot,Ivan Rakitic
Cristiano Ronaldo,19/20,Serie A,15,2019-12-07,A,Juventus FC,SS Lazio,3:01,CF,25,0:01,Tap-in,Rodrigo Bentancur
Cristiano Ronaldo,19/20,UEFA Champions League,Group Stage,2019-12-11,A,Juventus FC,Bayer 04 Leverkusen,0:02,CF,75,0:01,Right-footed shot,Paulo Dybala
Cristiano Ronaldo,19/20,Serie A,16,2019-12-15,H,Juventus FC,Udinese Calcio,3:01,CF,37,2:00,Left-footed shot,Gonzalo Higuain
Cristiano Ronaldo,19/20,Serie A,16,2019-12-15,H,Juventus FC,Udinese Calcio,3:01,CF,9,1:00,Right-footed shot,
Cristiano Ronaldo,19/20,Serie A,17,2019-12-18,A,Juventus FC,UC Sampdoria,1:02,LW,45,1:02,Header,Alex Sandro
Lionel Messi,19/20,LaLiga,18,2019-12-21,H,FC Barcelona,Deportivo Alaves,4:01,RW ,69,3:01,Left-footed shot,Luis Suarez
Cristiano Ronaldo,19/20,Serie A,18,2020-01-06,H,Juventus FC,Cagliari Calcio,4:00,CF,82,4:00,Left-footed shot,Douglas Costa
Cristiano Ronaldo,19/20,Serie A,18,2020-01-06,H,Juventus FC,Cagliari Calcio,4:00,CF,67,2:00,Penalty,
Cristiano Ronaldo,19/20,Serie A,18,2020-01-06,H,Juventus FC,Cagliari Calcio,4:00,CF,49,1:00,Right-footed shot,
Lionel Messi,19/20,Supercopa,Semi-Finals,2020-01-09,H,FC Barcelona,Atletico de Madrid,2:03,RW ,51,1:01,Right-footed shot,Luis Suarez
Cristiano Ronaldo,19/20,Serie A,19,2020-01-12,A,Juventus FC,AS Roma,1:02,CF,10,0:02,Penalty,
Cristiano Ronaldo,19/20,Serie A,20,2020-01-19,H,Juventus FC,Parma Calcio 1913,2:01,CF,43,1:00,Deflected shot on goal,Blaise Matuidi
Cristiano Ronaldo,19/20,Serie A,20,2020-01-19,H,Juventus FC,Parma Calcio 1913,2:01,CF,58,2:01,Right-footed shot,Paulo Dybala
Lionel Messi,19/20,LaLiga,20,2020-01-19,H,FC Barcelona,Granada CF,1:00,CF ,76,1:00,Right-footed shot,Arturo Vidal
Cristiano Ronaldo,19/20,Italy Cup,Quarter-Finals,2020-01-22,H,Juventus FC,AS Roma,3:01,LW,26,1:00,Left-footed shot,Gonzalo Higuain
Cristiano Ronaldo,19/20,Serie A,21,2020-01-26,A,Juventus FC,SSC Napoli,2:01,LW,90,2:01,Right-footed shot,Rodrigo Bentancur
Lionel Messi,19/20,Copa del Rey,Round of 16,2020-01-30,H,FC Barcelona,CD Leganes,5:00,RW ,89,5:00,Left-footed shot,Ivan Rakitic
Lionel Messi,19/20,Copa del Rey,Round of 16,2020-01-30,H,FC Barcelona,CD Leganes,5:00,RW ,59,3:00,Left-footed shot,Frenkie de Jong
Cristiano Ronaldo,19/20,Serie A,22,2020-02-02,H,Juventus FC,ACF Fiorentina,3:00,LW,40,1:00,Penalty,
Cristiano Ronaldo,19/20,Serie A,22,2020-02-02,H,Juventus FC,ACF Fiorentina,3:00,LW,80,2:00,Penalty,
Cristiano Ronaldo,19/20,Serie A,23,2020-02-08,A,Juventus FC,Hellas Verona,2:01,LW,65,0:01,Right-footed shot,Rodrigo Bentancur
Cristiano Ronaldo,19/20,Italy Cup,Semi-Finals,2020-02-13,A,Juventus FC,AC Milan,1:01,LW,90+1,1:01,Penalty,
Cristiano Ronaldo,19/20,Serie A,25,2020-02-22,A,Juventus FC,SPAL,1:02,LW,39,0:01,Tap-in,Juan Cuadrado
Lionel Messi,19/20,LaLiga,25,2020-02-22,H,FC Barcelona,SD Eibar,5:00,SS ,14,1:00,Left-footed shot,Ivan Rakitic
Lionel Messi,19/20,LaLiga,25,2020-02-22,H,FC Barcelona,SD Eibar,5:00,SS ,37,2:00,Left-footed shot,Arturo Vidal
Lionel Messi,19/20,LaLiga,25,2020-02-22,H,FC Barcelona,SD Eibar,5:00,SS ,40,3:00,Left-footed shot,
Lionel Messi,19/20,LaLiga,25,2020-02-22,H,FC Barcelona,SD Eibar,5:00,SS ,87,4:00,Left-footed shot,
Lionel Messi,19/20,LaLiga,27,2020-03-07,H,FC Barcelona,Real Sociedad,1:00,CF ,81,1:00,Penalty,
Lionel Messi,19/20,LaLiga,28,2020-06-13,A,FC Barcelona,RCD Mallorca,0:04,RW ,90+3,0:04,Right-footed shot,Luis Suarez
Lionel Messi,19/20,LaLiga,29,2020-06-16,H,FC Barcelona,CD Leganes,2:00,RW ,69,2:00,Penalty,
Cristiano Ronaldo,19/20,Serie A,27,2020-06-22,A,Juventus FC,Bologna FC 1909,0:02,LW,23,0:01,Penalty,
Cristiano Ronaldo,19/20,Serie A,28,2020-06-26,H,Juventus FC,US Lecce,4:00,LW,62,2:00,Penalty,
Lionel Messi,19/20,LaLiga,33,2020-06-30,H,FC Barcelona,Atletico de Madrid,2:02,SS ,50,2:01,Penalty,
Cristiano Ronaldo,19/20,Serie A,29,2020-06-30,A,Juventus FC,Genoa CFC,1:03,LW,56,0:02,Long distance kick,Miralem Pjanic
Cristiano Ronaldo,19/20,Serie A,30,2020-07-04,H,Juventus FC,Torino FC,4:01,LW,61,3:01,Direct free kick,
Cristiano Ronaldo,19/20,Serie A,31,2020-07-07,A,Juventus FC,AC Milan,4:02,LW,53,0:02,Left-footed shot,Juan Cuadrado
Cristiano Ronaldo,19/20,Serie A,32,2020-07-11,H,Juventus FC,Atalanta BC,2:02,LW,90,2:02,Penalty,
Cristiano Ronaldo,19/20,Serie A,32,2020-07-11,H,Juventus FC,Atalanta BC,2:02,LW,55,1:01,Penalty,
Lionel Messi,19/20,LaLiga,37,2020-07-16,H,FC Barcelona,CA Osasuna,1:02,RW ,62,1:01,Direct free kick,
Lionel Messi,19/20,LaLiga,38,2020-07-19,A,FC Barcelona,Deportivo Alaves,0:05,RW ,34,0:02,Left-footed shot,Riqui Puig
Lionel Messi,19/20,LaLiga,38,2020-07-19,A,FC Barcelona,Deportivo Alaves,0:05,RW ,75,0:05,Left-footed shot,Jordi Alba
Cristiano Ronaldo,19/20,Serie A,34,2020-07-20,H,Juventus FC,SS Lazio,2:01,LW,51,1:00,Penalty,
Cristiano Ronaldo,19/20,Serie A,34,2020-07-20,H,Juventus FC,SS Lazio,2:01,LW,54,2:00,Counter attack goal,Paulo Dybala
Cristiano Ronaldo,19/20,Serie A,36,2020-07-26,H,Juventus FC,UC Sampdoria,2:00,LW,45+7,1:00,Right-footed shot,Miralem Pjanic
Cristiano Ronaldo,19/20,UEFA Champions League,last 16,2020-08-07,H,Juventus FC,Olympique Lyon,2:01,LW,60,2:01,Left-footed shot,Federico Bernardeschi
Cristiano Ronaldo,19/20,UEFA Champions League,last 16,2020-08-07,H,Juventus FC,Olympique Lyon,2:01,LW,43,1:01,Penalty,
Lionel Messi,19/20,UEFA Champions League,last 16,2020-08-08,H,FC Barcelona,SSC Napoli,3:01,SS ,23,2:00,Left-footed shot,
Cristiano Ronaldo,20/21,Serie A,1,2020-09-20,H,Juventus FC,UC Sampdoria,3:00,CF,88,3:00,Right-footed shot,Aaron Ramsey
Cristiano Ronaldo,20/21,Serie A,2,2020-09-27,A,Juventus FC,AS Roma,2:02,CF,44,1:01,Penalty,
Cristiano Ronaldo,20/21,Serie A,2,2020-09-27,A,Juventus FC,AS Roma,2:02,CF,69,2:02,Header,Danilo
Lionel Messi,20/21,LaLiga,3,2020-09-27,H,FC Barcelona,Villarreal CF,4:00,CF ,35,3:00,Penalty,
Lionel Messi,20/21,UEFA Champions League,Group Stage,2020-10-20,H,FC Barcelona,Ferencvarosi TC,5:01,CF ,27,1:00,Penalty,
Lionel Messi,20/21,UEFA Champions League,Group Stage,2020-10-28,A,FC Barcelona,Juventus FC,0:02,CF ,90+1,0:02,Penalty,
Cristiano Ronaldo,20/21,Serie A,6,2020-11-01,A,Juventus FC,Spezia Calcio,1:04,CF,76,1:04,Penalty,
Cristiano Ronaldo,20/21,Serie A,6,2020-11-01,A,Juventus FC,Spezia Calcio,1:04,CF,59,1:02,Right-footed shot,alvaro Morata
Lionel Messi,20/21,UEFA Champions League,Group Stage,2020-11-04,H,FC Barcelona,Dynamo Kyiv,2:01,RW ,5,1:00,Penalty,
Lionel Messi,20/21,LaLiga,9,2020-11-07,H,FC Barcelona,Real Betis Balompie,5:02,CF,82,4:02,Left-footed shot,Sergi Roberto
Lionel Messi,20/21,LaLiga,9,2020-11-07,H,FC Barcelona,Real Betis Balompie,5:02,CF,61,3:01,Penalty,
Cristiano Ronaldo,20/21,Serie A,7,2020-11-08,A,Juventus FC,SS Lazio,1:01,LW,15,0:01,Right-footed shot,Juan Cuadrado
Cristiano Ronaldo,20/21,Serie A,8,2020-11-21,H,Juventus FC,Cagliari Calcio,2:00,CF,38,1:00,Right-footed shot,alvaro Morata
Cristiano Ronaldo,20/21,Serie A,8,2020-11-21,H,Juventus FC,Cagliari Calcio,2:00,CF,42,2:00,Right-footed shot,Merih Demiral
Cristiano Ronaldo,20/21,UEFA Champions League,Group Stage,2020-11-24,H,Juventus FC,Ferencvarosi TC,2:01,CF,35,1:01,Left-footed shot,Juan Cuadrado
Lionel Messi,20/21,LaLiga,11,2020-11-29,H,FC Barcelona,CA Osasuna,4:00,RW ,73,4:00,Left-footed shot,Francisco Trinc̣o
Cristiano Ronaldo,20/21,UEFA Champions League,Group Stage,2020-12-02,H,Juventus FC,Dynamo Kyiv,3:00,CF,57,2:00,Right-footed shot,alvaro Morata
Cristiano Ronaldo,20/21,UEFA Champions League,Group Stage,2020-12-08,A,Juventus FC,FC Barcelona,0:03,CF,13,0:01,Penalty,
Cristiano Ronaldo,20/21,UEFA Champions League,Group Stage,2020-12-08,A,Juventus FC,FC Barcelona,0:03,CF,52,0:03,Penalty,
Cristiano Ronaldo,20/21,Serie A,11,2020-12-13,A,Juventus FC,Genoa CFC,1:03,CF,78,1:02,Penalty,
Cristiano Ronaldo,20/21,Serie A,11,2020-12-13,A,Juventus FC,Genoa CFC,1:03,CF,89,1:03,Penalty,
Lionel Messi,20/21,LaLiga,13,2020-12-13,H,FC Barcelona,Levante UD,1:00,CF ,76,1:00,Left-footed shot,Frenkie de Jong
Cristiano Ronaldo,20/21,Serie A,13,2020-12-19,A,Juventus FC,Parma Calcio 1913,0:04,CF,48,0:03,Left-footed shot,Aaron Ramsey
Lionel Messi,20/21,LaLiga,14,2020-12-19,H,FC Barcelona,Valencia CF,2:02,CF ,45+4,1:01,Header,
Cristiano Ronaldo,20/21,Serie A,13,2020-12-19,A,Juventus FC,Parma Calcio 1913,0:04,CF,26,0:02,Header,alvaro Morata
Lionel Messi,20/21,LaLiga,15,2020-12-22,A,FC Barcelona,Real Valladolid CF,0:03,AM ,65,0:03,Left-footed shot,Pedri
Cristiano Ronaldo,20/21,Serie A,15,2021-01-03,H,Juventus FC,Udinese Calcio,4:01,CF,31,1:00,Right-footed shot,Aaron Ramsey
Cristiano Ronaldo,20/21,Serie A,15,2021-01-03,H,Juventus FC,Udinese Calcio,4:01,CF,70,3:00,Left-footed shot,Rodrigo Bentancur
Lionel Messi,20/21,LaLiga,2,2021-01-06,A,FC Barcelona,Athletic Bilbao,2:03,CF ,38,1:02,Left-footed shot,Pedri
Lionel Messi,20/21,LaLiga,2,2021-01-06,A,FC Barcelona,Athletic Bilbao,2:03,CF ,62,1:03,Left-footed shot,Antoine Griezmann
Lionel Messi,20/21,LaLiga,18,2021-01-09,A,FC Barcelona,Granada CF,0:04,CF ,35,0:02,Left-footed shot,Antoine Griezmann
Lionel Messi,20/21,LaLiga,18,2021-01-09,A,FC Barcelona,Granada CF,0:04,CF ,42,0:03,Direct free kick,
Cristiano Ronaldo,20/21,Serie A,17,2021-01-10,H,Juventus FC,US Sassuolo,3:01,CF,90+2,3:01,Right-footed shot,Danilo
Cristiano Ronaldo,20/21,Supercoppa Italiana,Final,2021-01-20,H,Juventus FC,SSC Napoli,2:00,CF,64,1:00,Tap-in,
Lionel Messi,20/21,Copa del Rey,Round of 16,2021-01-27,A,FC Barcelona,Rayo Vallecano,1:02,CF ,69,1:01,Left-footed shot,Antoine Griezmann
Lionel Messi,20/21,LaLiga,21,2021-01-31,H,FC Barcelona,Athletic Bilbao,2:01,CF ,20,1:00,Direct free kick,
Cristiano Ronaldo,20/21,Italy Cup,Semi-Finals,2021-02-02,A,Juventus FC,Inter Milan,1:02,CF,26,1:01,Penalty,
Cristiano Ronaldo,20/21,Italy Cup,Semi-Finals,2021-02-02,A,Juventus FC,Inter Milan,1:02,CF,35,1:02,Left-footed shot,
Cristiano Ronaldo,20/21,Serie A,21,2021-02-06,H,Juventus FC,AS Roma,2:00,CF,13,1:00,Left-footed shot,alvaro Morata
Lionel Messi,20/21,LaLiga,22,2021-02-07,A,FC Barcelona,Real Betis Balompie,2:03,CF,59,1:01,Left-footed shot,Ousmane Dembele
Lionel Messi,20/21,LaLiga,23,2021-02-13,H,FC Barcelona,Deportivo Alaves,5:01,CF ,75,4:01,Left-footed shot,Antoine Griezmann
Lionel Messi,20/21,LaLiga,23,2021-02-13,H,FC Barcelona,Deportivo Alaves,5:01,CF ,45+1,2:00,Left-footed shot,Sergio Busquets
