Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
Lionel Messi,15/16,UEFA Champions League,Group Stage,2015-12-09,A,FC Barcelona,Bayer 04 Leverkusen,1:01,CF ,20,0:01,Right-footed shot,Ivan Rakitic
Lionel Messi,15/16,LaLiga,15,2015-12-12,H,FC Barcelona,Deportivo de La Coruaa,2:02,RW,39,1:00,Direct free kick,
Cristiano Ronaldo,15/16,LaLiga,16,2015-12-20,H,Real Madrid,Rayo Vallecano,10:02,LW,54,6:02,Header,James Rodriguez
Cristiano Ronaldo,15/16,LaLiga,16,2015-12-20,H,Real Madrid,Rayo Vallecano,10:02,LW,30,3:02,Penalty,
Lionel Messi,15/16,FIFA Club World Cup,Final,2015-12-20,A,FC Barcelona,CA River Plate,0:03,RW,36,0:01,Left-footed shot,Neymar
Cristiano Ronaldo,15/16,LaLiga,17,2015-12-30,H,Real Madrid,Real Sociedad,3:01,LW,68,2:01,Left-footed shot,Marcelo
Cristiano Ronaldo,15/16,LaLiga,17,2015-12-30,H,Real Madrid,Real Sociedad,3:01,LW,42,1:00,Penalty,
Lionel Messi,15/16,LaLiga,17,2015-12-30,H,FC Barcelona,Real Betis Balompie,4:00,RW ,33,2:00,Right-footed shot,Neymar
Lionel Messi,15/16,Copa del Rey,last 16,2016-01-06,H,FC Barcelona,RCD Espanyol Barcelona,4:01,RW,44,2:01,Direct free kick,
Lionel Messi,15/16,Copa del Rey,last 16,2016-01-06,H,FC Barcelona,RCD Espanyol Barcelona,4:01,RW,13,1:01,Left-footed shot,Andres Iniesta
Lionel Messi,15/16,LaLiga,19,2016-01-09,H,FC Barcelona,Granada CF,4:00,RW ,58,3:00,Tap-in,
Lionel Messi,15/16,LaLiga,19,2016-01-09,H,FC Barcelona,Granada CF,4:00,RW ,14,2:00,Left-footed shot,Luis Suarez
Lionel Messi,15/16,LaLiga,19,2016-01-09,H,FC Barcelona,Granada CF,4:00,RW ,8,1:00,Left-footed shot,Arda Turan
Lionel Messi,15/16,LaLiga,20,2016-01-17,H,FC Barcelona,Athletic Bilbao,6:00,RW,7,1:00,Penalty,
Cristiano Ronaldo,15/16,LaLiga,20,2016-01-17,H,Real Madrid,Sporting GijÃ³n,5:01,LW,9,2:00,Left-footed shot,Karim Benzema
Cristiano Ronaldo,15/16,LaLiga,20,2016-01-17,H,Real Madrid,Sporting GijÃ³n,5:01,LW,18,4:00,Left-footed shot,Daniel Carvajal
Lionel Messi,15/16,LaLiga,21,2016-01-23,A,FC Barcelona,Malaga CF,1:02,RW,51,1:02,Left-footed shot,Adriano
Lionel Messi,15/16,LaLiga,22,2016-01-30,H,FC Barcelona,Atletico de Madrid,2:01,RW,30,1:01,Left-footed shot,Jordi Alba
Cristiano Ronaldo,15/16,LaLiga,22,2016-01-31,H,Real Madrid,RCD Espanyol Barcelona,6:00,LW,82,5:00,Header,Jese
Cristiano Ronaldo,15/16,LaLiga,22,2016-01-31,H,Real Madrid,RCD Espanyol Barcelona,6:00,LW,45,4:00,Left-footed shot,
Cristiano Ronaldo,15/16,LaLiga,22,2016-01-31,H,Real Madrid,RCD Espanyol Barcelona,6:00,LW,12,2:00,Penalty,
Lionel Messi,15/16,Copa del Rey,Semi-Finals,2016-02-03,H,FC Barcelona,Valencia CF,7:00,RW,59,4:00,Left-footed shot,Luis Suarez
Lionel Messi,15/16,Copa del Rey,Semi-Finals,2016-02-03,H,FC Barcelona,Valencia CF,7:00,RW,74,5:00,Left-footed shot,
Lionel Messi,15/16,Copa del Rey,Semi-Finals,2016-02-03,H,FC Barcelona,Valencia CF,7:00,RW,29,3:00,Left-footed shot,Neymar
Cristiano Ronaldo,15/16,LaLiga,24,2016-02-13,H,Real Madrid,Athletic Bilbao,4:02,LW,3,1:00,Right-footed shot,Karim Benzema
Cristiano Ronaldo,15/16,LaLiga,24,2016-02-13,H,Real Madrid,Athletic Bilbao,4:02,LW,87,4:01,Right-footed shot,Lucas Vazquez
Lionel Messi,15/16,LaLiga,24,2016-02-14,H,FC Barcelona,Celta de Vigo,6:01,RW,28,1:00,Direct free kick,
Lionel Messi,15/16,LaLiga,16,2016-02-17,A,FC Barcelona,Sporting GijÃ³n,1:03,RW ,31,1:02,Left-footed shot,Luis Suarez
Lionel Messi,15/16,LaLiga,16,2016-02-17,A,FC Barcelona,Sporting GijÃ³n,1:03,RW ,25,0:01,Left-footed shot,Luis Suarez
Cristiano Ronaldo,15/16,UEFA Champions League,last 16,2016-02-17,A,Real Madrid,AS Roma,0:02,LW,57,0:01,Right-footed shot,Marcelo
Cristiano Ronaldo,15/16,LaLiga,25,2016-02-21,A,Real Madrid,Malaga CF,1:01,LW,33,0:01,Header,Toni Kroos
Lionel Messi,15/16,UEFA Champions League,last 16,2016-02-23,A,FC Barcelona,Arsenal FC,0:02,RW,83,0:02,Penalty,
Lionel Messi,15/16,UEFA Champions League,last 16,2016-02-23,A,FC Barcelona,Arsenal FC,0:02,RW,71,0:01,Left-footed shot,Neymar
Lionel Messi,15/16,LaLiga,26,2016-02-28,H,FC Barcelona,Sevilla FC,2:01,RW ,31,1:01,Direct free kick,
Cristiano Ronaldo,15/16,LaLiga,27,2016-03-02,A,Real Madrid,Levante UD,1:03,LW,34,0:01,Penalty,
Lionel Messi,15/16,LaLiga,27,2016-03-03,A,FC Barcelona,Rayo Vallecano,1:05,RW,53,0:03,Left-footed shot,
Lionel Messi,15/16,LaLiga,27,2016-03-03,A,FC Barcelona,Rayo Vallecano,1:05,RW,23,0:02,Left-footed shot,Neymar
Lionel Messi,15/16,LaLiga,27,2016-03-03,A,FC Barcelona,Rayo Vallecano,1:05,RW,72,1:04,Left-footed shot,Sergio Busquets
Cristiano Ronaldo,15/16,LaLiga,28,2016-03-05,H,Real Madrid,Celta de Vigo,7:01,LW,64,4:01,Right-footed shot,Isco
Cristiano Ronaldo,15/16,LaLiga,28,2016-03-05,H,Real Madrid,Celta de Vigo,7:01,LW,58,3:00,Direct free kick,
Cristiano Ronaldo,15/16,LaLiga,28,2016-03-05,H,Real Madrid,Celta de Vigo,7:01,LW,50,2:00,Long distance kick,Sergio Ramos
Cristiano Ronaldo,15/16,LaLiga,28,2016-03-05,H,Real Madrid,Celta de Vigo,7:01,LW,76,5:01,Header,Jese
Lionel Messi,15/16,LaLiga,28,2016-03-06,A,FC Barcelona,SD Eibar,0:04,RW ,76,0:03,Penalty,
Lionel Messi,15/16,LaLiga,28,2016-03-06,A,FC Barcelona,SD Eibar,0:04,RW ,42,0:02,Left-footed shot,Munir El Haddadi
Cristiano Ronaldo,15/16,UEFA Champions League,last 16,2016-03-08,H,Real Madrid,AS Roma,2:00,CF,64,1:00,Right-footed shot,Lucas Vazquez
Lionel Messi,15/16,LaLiga,29,2016-03-12,H,FC Barcelona,Getafe CF,6:00,CF,41,4:00,Left-footed shot,Arda Turan
Lionel Messi,15/16,UEFA Champions League,last 16,2016-03-16,H,FC Barcelona,Arsenal FC,3:01,RW,86,3:01,Left-footed shot,Neymar
Cristiano Ronaldo,15/16,LaLiga,30,2016-03-20,H,Real Madrid,Sevilla FC,4:00,LW,64,2:00,Left-footed shot,Danilo
Cristiano Ronaldo,15/16,LaLiga,31,2016-04-02,A,Real Madrid,FC Barcelona,1:02,LW,85,1:02,Right-footed shot,Gareth Bale
Cristiano Ronaldo,15/16,LaLiga,32,2016-04-09,H,Real Madrid,SD Eibar,4:00,CF,19,3:00,Right-footed shot,Jese
Cristiano Ronaldo,15/16,UEFA Champions League,Quarter-Finals,2016-04-12,H,Real Madrid,VfL Wolfsburg,3:00,LW,77,3:00,Direct free kick,
Cristiano Ronaldo,15/16,UEFA Champions League,Quarter-Finals,2016-04-12,H,Real Madrid,VfL Wolfsburg,3:00,LW,16,1:00,Right-footed shot,Daniel Carvajal
Cristiano Ronaldo,15/16,UEFA Champions League,Quarter-Finals,2016-04-12,H,Real Madrid,VfL Wolfsburg,3:00,LW,17,2:00,Header,Toni Kroos
Cristiano Ronaldo,15/16,LaLiga,33,2016-04-16,A,Real Madrid,Getafe CF,1:05,LW,90+2,1:05,Left-footed shot,Jese
Lionel Messi,15/16,LaLiga,33,2016-04-17,H,FC Barcelona,Valencia CF,1:02,RW,63,1:02,Left-footed shot,Jordi Alba
Lionel Messi,15/16,LaLiga,34,2016-04-20,A,FC Barcelona,Deportivo de La Coruaa,0:08,RW,73,0:06,Left-footed shot,Luis Suarez
Lionel Messi,15/16,LaLiga,35,2016-04-23,H,FC Barcelona,Sporting GijÃ³n,6:00,RW,13,1:00,Header,
Cristiano Ronaldo,15/16,LaLiga,37,2016-05-08,H,Real Madrid,Valencia CF,3:02,LW,26,1:00,Right-footed shot,Marcelo
Cristiano Ronaldo,15/16,LaLiga,37,2016-05-08,H,Real Madrid,Valencia CF,3:02,LW,59,3:01,Left-footed shot,James Rodriguez
Lionel Messi,15/16,LaLiga,37,2016-05-08,H,FC Barcelona,RCD Espanyol Barcelona,5:00,RW,8,1:00,Direct free kick,
Cristiano Ronaldo,15/16,LaLiga,38,2016-05-14,A,Real Madrid,Deportivo de La CoruÃ±a,0:02,LW,25,0:02,Header,Toni Kroos
Cristiano Ronaldo,15/16,LaLiga,38,2016-05-14,A,Real Madrid,Deportivo de La CoruÃ±a,0:02,LW,8,0:01,Left-footed shot,Karim Benzema
Lionel Messi,16/17,Supercopa,final,2016-08-17,H,FC Barcelona,Sevilla FC,3:00,RW ,55,3:00,Header,Lucas Digne
Lionel Messi,16/17,LaLiga,1,2016-08-20,H,FC Barcelona,Real Betis Balompie,6:02,RW ,58,5:01,Left-footed shot,Arda Turan
Lionel Messi,16/17,LaLiga,1,2016-08-20,H,FC Barcelona,Real Betis Balompie,6:02,RW ,37,2:01,Left-footed shot,Sergi Roberto
